num_iter,dropout_rate,pruning_rate,num_bayes_layer,scale_factor,Accuracy,FLOP,ECE,aPE,score
0.0,0.4,0.05,3.0,0.3,0.7779,36137.0,0.05519059672951698,1.34254521484375,-9.223372036854776e+18
1.0,0.05,0.7,1.0,0.75,0.9851,2249766.0,0.011110126972198486,0.814710009765625,-2249766.0
2.0,0.45,0.55,2.0,0.75,0.9441,1767739.0,0.02295605279505253,0.8379642578125,-9.223372036854776e+18
3.0,0.05,0.7,1.0,0.75,0.9851,2249766.0,0.010742008686065674,0.88097490234375,-2249766.0
4.0,0.05,0.95,1.0,0.35,0.842,867965.0,0.010623496025800705,1.4297107421875,-9.223372036854776e+18
5.0,0.05,0.95,2.0,0.95,0.9675,4623475.0,0.015701260417699814,0.74566005859375,-9.223372036854776e+18
6.0,0.05,0.6,3.0,0.7,0.984,1715234.0,0.010808713734149933,1.12649287109375,-1715234.0
7.0,0.1,0.6,1.0,0.55,0.987,1137768.0,0.008076104335486889,0.852529296875,-1137768.0
8.0,0.05,0.3,1.0,0.6,0.9855,658286.0,0.011499056592583656,0.66785087890625,-658286.0
9.0,0.05,0.15,1.0,0.9,0.9865,663311.0,0.010512442328035831,0.597388818359375,-663311.0
10.0,0.95,0.95,3.0,0.05,0.1135,64885.0,0.0016555562615394592,2.30086953125,-9.223372036854776e+18
11.0,0.05,0.05,2.0,0.65,0.9846,125667.0,0.011405165307223797,0.9256748046875,-125667.0
12.0,0.3,0.05,3.0,0.95,0.9752,243713.0,0.014280645176768303,0.70030498046875,-243713.0
13.0,0.95,0.05,3.0,0.95,0.114,243713.0,0.0006884245667606592,2.3009625,-9.223372036854776e+18
14.0,0.05,0.4,1.0,0.05,0.4663,27160.0,0.1399744749069214,1.859078515625,-9.223372036854776e+18
15.0,0.95,0.95,3.0,0.95,0.1135,4630550.0,0.002049669623374939,2.2754294921875,-9.223372036854776e+18
16.0,0.2,0.05,1.0,0.75,0.9863,160697.0,0.009999740868806839,0.68239462890625,-160697.0
17.0,0.95,0.15,2.0,0.05,0.1135,10186.0,0.0016555562615394592,2.2927013671875,-9.223372036854776e+18
18.0,0.05,0.05,3.0,0.9,0.9876,221463.0,0.009475897997617722,0.552720361328125,-221463.0
19.0,0.2,0.05,1.0,0.95,0.9885,243333.0,0.00988483801484108,0.42630556640625,-243333.0
20.0,0.15,0.2,3.0,0.75,0.9816,643990.0,0.011030242778360844,0.394020556640625,-643990.0
21.0,0.1,0.4,1.0,0.85,0.9874,1599371.0,0.009782209061086178,0.627006640625,-1599371.0
22.0,0.2,0.2,3.0,0.95,0.9815,974852.0,0.011369078420102596,0.505483447265625,-974852.0
23.0,0.05,0.5,1.0,0.65,0.9838,1256618.0,0.011092832311987877,0.78305712890625,-1256618.0
24.0,0.1,0.5,3.0,0.95,0.9848,2437132.0,0.010228311643004417,1.1929625,-2437132.0
25.0,0.05,0.35,3.0,0.9,0.987,1550246.0,0.009803236462175846,0.619591259765625,-1550246.0
26.0,0.05,0.2,1.0,0.75,0.9864,642790.0,0.01099130418151617,0.88542626953125,-642790.0
27.0,0.05,0.05,3.0,0.4,0.9758,56554.0,0.013473555445671082,0.9152791015625,-56554.0
28.0,0.05,0.2,3.0,0.5,0.981,324642.0,0.011994081549346447,0.578936767578125,-324642.0
29.0,0.05,0.15,1.0,0.5,0.9847,242881.0,0.010578256100416183,0.491924609375,-242881.0
30.0,0.15,0.05,3.0,0.6,0.9784,109954.0,0.011646859347820282,0.8592564453125,-109954.0
31.0,0.05,0.3,1.0,0.95,0.9862,1459999.0,0.011343617923557758,0.3206681884765625,-1459999.0
32.0,0.2,0.05,3.0,0.85,0.9783,200261.0,0.01423555612564087,1.11794453125,-200261.0
33.0,0.15,0.65,1.0,0.7,0.9824,1854530.0,0.011950047686696053,0.72563447265625,-1854530.0
34.0,0.3,0.15,1.0,0.95,0.9887,729999.0,0.0093850027769804,0.1317142578125,-729999.0
35.0,0.05,0.65,3.0,0.6,0.9818,1429407.0,0.010236392728984356,0.41571962890625,-1429407.0
36.0,0.05,0.75,1.0,0.65,0.9853,1884927.0,0.009508054703474045,0.86075869140625,-1884927.0
37.0,0.2,0.35,1.0,0.95,0.9865,1703332.0,0.010676522739231586,0.9960947265625,-1703332.0
38.0,0.15,0.25,1.0,0.6,0.9864,548572.0,0.009790209122002125,0.44410888671875,-548572.0
39.0,0.1,0.45,3.0,0.55,0.9751,855306.0,0.01402573473751545,0.578022216796875,-855306.0
40.0,0.4,0.05,1.0,0.95,0.983,243333.0,0.013272586278617382,0.55811416015625,-243333.0
41.0,0.1,0.05,1.0,0.55,0.9816,94814.0,0.012698188424110413,0.510300830078125,-94814.0
42.0,0.1,0.6,2.0,0.6,0.9818,1316630.0,0.010508835315704346,0.765689599609375,-1316630.0
43.0,0.05,0.45,2.0,0.5,0.9792,728681.0,0.013131184503436089,0.715282470703125,-728681.0
44.0,0.05,0.05,3.0,0.5,0.9793,81160.0,0.012705880217254162,0.2859219970703125,-81160.0
45.0,0.05,0.45,1.0,0.95,0.9878,2189998.0,0.009866947308182716,0.222078466796875,-2189998.0
46.0,0.05,0.1,3.0,0.95,0.9862,487426.0,0.010387766174972057,0.657298388671875,-487426.0
47.0,0.05,0.15,3.0,0.75,0.9849,482992.0,0.010770007036626339,1.06280634765625,-482992.0
48.0,0.05,0.05,1.0,0.95,0.9871,243333.0,0.011102234944701195,0.6268626953125,-243333.0
49.0,0.05,0.35,3.0,0.6,0.9827,769680.0,0.011529949493706226,1.05131435546875,-769680.0
50.0,0.1,0.3,1.0,0.5,0.98,485763.0,0.012429182417690754,0.88152314453125,-485763.0
